1,1,1,1,1,1,1
2,2,2,2,2,2,2
3,3,3,3,3,3,3
4,4,4,4,4,4,4
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
5,5,5,5,5,5,5
5,5,5,5,5,5,5
6,6,6,6,6,6,6
6,6,6,6,6,6,6
7,7,7,7,7,7,7
8,8,8,8,8,8,8
4,4,4,4,4,4,4
9,9,9,9,9,9,9
10,10,10,10,10,10,10
1,1,1,1,1,1,1
3,3,3,3,3,3,3
11,11,11,11,11,11,11
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
6,6,6,6,6,6,6
8,8,8,8,8,8,8
1,1,1,1,1,1,1
8,8,8,8,8,8,8
12,12,12,12,12,12,12
13,13,13,13,13,13,13
3,3,3,3,3,3,3
1,1,1,1,1,1,1
1,1,1,1,1,1,1
8,8,8,8,8,8,8
14,14,14,14,14,14,14
14,14,14,14,14,14,14
1,1,1,1,1,1,1
3,3,3,3,3,3,3
15,15,15,15,15,15,15
13,13,13,13,13,13,13
13,13,13,13,13,13,13
4,4,4,4,4,4,4
1,1,1,1,1,1,1
1,1,1,1,1,1,1
16,16,16,16,16,16,16
16,16,16,16,16,16,16
12,12,12,12,12,12,12
1,1,1,1,1,1,1
5,5,5,5,5,5,5
12,12,12,12,12,12,12
4,4,4,4,4,4,4
12,12,12,12,12,12,12
1,1,1,1,1,1,1
1,1,1,1,1,1,1
5,5,5,5,5,5,5
17,17,17,17,17,17,17
1,1,1,1,1,1,1
16,16,16,16,16,16,16
1,1,1,1,1,1,1
1,1,1,1,1,1,1
18,18,18,18,18,18,18
18,18,18,18,18,18,18
1,1,1,1,1,1,1
1,1,1,1,1,1,1
19,19,19,19,19,19,19
19,19,19,19,19,19,19
11,11,11,11,11,11,11
11,11,11,11,11,11,11
8,8,8,8,8,8,8
3,3,3,3,3,3,3
8,8,8,8,8,8,8
5,5,5,5,5,5,5
20,20,20,20,20,20,20
21,21,21,21,21,21,21
21,21,21,21,21,21,21
1,1,1,1,1,1,1
1,1,1,1,1,1,1
7,7,7,7,7,7,7
7,7,7,7,7,7,7
22,22,22,22,22,22,22
7,7,7,7,7,7,7
20,20,20,20,20,20,20
5,5,5,5,5,5,5
5,5,5,5,5,5,5
1,1,1,1,1,1,1
3,3,3,3,3,3,3
5,5,5,5,5,5,5
1,1,1,1,1,1,1
13,13,13,13,13,13,13
5,5,5,5,5,5,5
1,1,1,1,1,1,1
5,5,5,5,5,5,5
4,4,4,4,4,4,4
8,8,8,8,8,8,8
4,4,4,4,4,4,4
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
17,17,17,17,17,17,17
8,8,8,8,8,8,8
17,17,17,17,17,17,17
23,23,23,23,23,23,23
23,23,23,23,23,23,23
24,24,24,24,24,24,24
24,24,24,24,24,24,24
19,19,19,19,19,19,19
4,4,4,4,4,4,4
3,3,3,3,3,3,3
19,19,19,19,19,19,19
5,5,5,5,5,5,5
11,11,11,11,11,11,11
12,12,12,12,12,12,12
12,12,12,12,12,12,12
12,12,12,12,12,12,12
19,19,19,19,19,19,19
19,19,19,19,19,19,19
25,25,25,25,25,25,25
5,5,5,5,5,5,5
23,23,23,23,23,23,23
23,23,23,23,23,23,23
26,26,26,26,26,26,26
26,26,26,26,26,26,26
26,26,26,26,26,26,26
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
2,2,2,2,2,2,2
16,16,16,16,16,16,16
16,16,16,16,16,16,16
8,8,8,8,8,8,8
27,27,27,27,27,27,27
27,27,27,27,27,27,27
1,1,1,1,1,1,1
1,1,1,1,1,1,1
19,19,19,19,19,19,19
3,3,3,3,3,3,3
3,3,3,3,3,3,3
28,28,28,28,28,28,28
6,6,6,6,6,6,6
29,29,29,29,29,29,29
12,12,12,12,12,12,12
1,1,1,1,1,1,1
29,29,29,29,29,29,29
29,29,29,29,29,29,29
1,1,1,1,1,1,1
1,1,1,1,1,1,1
29,29,29,29,29,29,29
1,1,1,1,1,1,1
