1,1,1
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
1,1,1
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
1,1,1
3,3,3
3,3,3
1,1,1
3,3,3
3,3,2
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
1,1,1
1,1,1
3,3,3
2,2,2
2,2,2
1,1,1
1,1,1
2,2,2
3,3,3
3,3,3
1,1,1
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
1,1,1
3,3,3
3,3,3
1,1,1
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
1,1,1
1,1,1
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
1,1,1
2,2,2
1,1,1
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
6,6,6
4,4,4
4,4,4
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
8,8,8
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
9,9,9
7,7,7
10,10,10
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
